date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:15	331/331	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:17%20GMT	https://mapitgis.com/docs/tags/spatial-data	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/spatial-data	(from https://mapitgis.com/docs/intro/)
17:04:16	11228/11228	---M-Z	200	added ('OK')	text/html	etag:%222bdc-64df873a44095-gzip%22	https://mapitgis.com/docs/tags/spatial-data/	F:/mapitgis/mapitgis/mapitgis.com/docs/tags/spatial-data/index.html	(from https://mapitgis.com/docs/intro/)
17:04:16	328/328	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:18%20GMT	https://mapitgis.com/blog/authors/osedok	F:/mapitgis/mapitgis/mapitgis.com/blog/authors/osedok	(from https://mapitgis.com/blog/)
17:04:16	18163/18163	---M-Z	200	added ('OK')	text/html	etag:%2246f3-64df873903ba0-gzip%22	https://mapitgis.com/blog/authors/osedok/	F:/mapitgis/mapitgis/mapitgis.com/blog/authors/osedok/index.html	(from https://mapitgis.com/blog/)
17:04:16	325/325	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:18%20GMT	https://mapitgis.com/blog/tags/Update	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/Update	(from https://mapitgis.com/blog/)
17:04:17	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:18%20GMT	https://mapitgis.com/blog/tags/android	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/android	(from https://mapitgis.com/blog/)
17:04:17	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:19%20GMT	https://mapitgis.com/blog/tags/gis	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/gis	(from https://mapitgis.com/blog/)
17:04:17	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:04:19%20GMT	https://mapitgis.com/blog/tags/mapping	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/mapping	(from https://mapitgis.com/blog/)
17:05:55	3339562/3339562	---MCZ	200	added ('OK')	text/html	etag:%2232f52a-64df87391d5c7-gzip%22	https://mapitgis.com/blog/tags/android/	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/android/index.html	(from https://mapitgis.com/blog/)
17:05:57	3339534/3339534	---MCZ	200	added ('OK')	text/html	etag:%2232f50e-64df873924af7-gzip%22	https://mapitgis.com/blog/tags/gis/	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/gis/index.html	(from https://mapitgis.com/blog/)
17:05:57	318/318	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:05:59%20GMT	https://mapitgis.com/blog/tags	F:/mapitgis/mapitgis/mapitgis.com/blog/tags.35.delayed	(from https://mapitgis.com/blog/tags/App/)
17:05:58	13145/13145	---M-Z	200	added ('OK')	text/html	etag:%223359-64df8739281a7-gzip%22	https://mapitgis.com/blog/tags/	F:/mapitgis/mapitgis/mapitgis.com/blog/tags/index.html	(from https://mapitgis.com/blog/tags/App/)
17:05:59	340/340	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:06:01%20GMT	https://mapitgis.com/docs/getting-started/map-screen	F:/mapitgis/mapitgis/mapitgis.com/docs/getting-started/map-screen	(from https://mapitgis.com/docs/category/getting-started/)
17:05:59	39725/39725	---M-Z	200	added ('OK')	text/html	etag:%229b2d-64df873b32968-gzip%22	https://mapitgis.com/docs/getting-started/map-screen/	F:/mapitgis/mapitgis/mapitgis.com/docs/getting-started/map-screen/index.html	(from https://mapitgis.com/docs/category/getting-started/)
17:06:00	339/339	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Apr%202026%2023:06:01%20GMT	https://mapitgis.com/docs/getting-started/main-menu	F:/mapitgis/mapitgis/mapitgis.com/docs/getting-started/main-menu.37.delayed	(from https://mapitgis.com/docs/category/getting-started/)
17:06:00	46958/46958	---M-Z	200	added ('OK')	text/html	etag:%22b76e-64df873b3250e-gzip%22	https://mapitgis.com/docs/getting-started/main-menu/	F:/mapitgis/mapitgis/mapitgis.com/docs/getting-started/main-menu/index.html	(from https://mapitgis.com/docs/category/getting-started/)
